trigger_code,timestamp,en_CH0,en_CH1,en_CH2,en_CH3,en_CH4,en_CH5,en_CH6,en_CH7,en_CH8,en_CH9,en_CH10,en_CH11,en_CH12,en_CH13,en_CH14,en_CH15,en_CH16,en_CH17,en_CH18,en_CH19,en_CH20,en_CH21,en_CH22,en_CH23,en_CH24,en_CH25,en_CH26,en_CH27,en_CH28,en_CH29,en_CH30,en_CH31
00800000,18BE,31B8,2E2C,301F,284B,2DA1,333E,2C24,3296,31CE,29E6,2F00,34DC,2F0A,3189,31FB,2B2B,3146,3149,2A83,2A41,2D53,28BE,4077,2FA4,0000,0000,0000,0000,0000,0000,0000,0000
00800000,5A81,3107,2C27,2EAE,26C4,2CD9,328F,2AF2,3244,3180,2AD4,2F69,352E,2F16,3121,3171,2AE9,2FF9,31BA,2942,2A18,2D54,27E3,3F8E,3044,0000,0000,0000,0000,0000,0000,0000,0000
00800000,9B69,303A,2C6F,2F77,276D,2C72,312F,2AC2,3458,30E7,2819,2E15,3316,2EF8,2F96,31C6,29A0,30C6,30D8,29DA,28EA,2D71,2848,4B68,2EB0,0000,0000,0000,0000,0000,0000,0000,0000
00800000,488B,31E8,2E22,2E9F,275F,2CC0,332A,2B4A,3319,30E1,2A97,3024,358C,2EBB,3169,31D7,29E9,3095,3029,2A40,2A35,2CB3,27FF,5C2C,2F76,0000,0000,0000,0000,0000,0000,0000,0000
00800000,0965,2FDE,2CCB,2DB2,261C,2C64,317E,2ABB,32EA,2F85,288F,2EDB,3493,2E4B,312A,3148,27E3,30EA,2FEF,29BB,2A39,2C0A,296C,7DCE,2E83,0000,0000,0000,0000,0000,0000,0000,0000
00800000,CF7F,30B4,2D7F,2F37,2854,2B23,32AD,2985,32DC,3103,29E1,2F92,3564,2E99,2F8E,3192,2953,31F3,3147,2B18,2B16,2CDF,28A5,611C,2ECD,0000,0000,0000,0000,0000,0000,0000,0000
00800000,6F1F,329C,2D0C,2EA5,28A2,2CA1,32F3,2CB5,32FB,30B4,2A51,2FB4,343A,2F1C,31A9,30FE,2A5E,3371,331C,2BB7,2A21,2D77,28CC,4A1E,30E1,0000,0000,0000,0000,0000,0000,0000,0000
00800000,7A05,30BB,2D18,2E88,2620,2CCA,31D4,2AE4,32B1,3075,293E,2EC6,33D2,2E04,3046,3116,28E2,31E2,3125,2A02,2A0D,2CE5,2841,839F,3005,0000,0000,0000,0000,0000,0000,0000,0000
00800000,1DA5,311B,2CA5,2F51,2892,2D02,3249,2BC4,31B3,3079,28CF,2FA9,35B4,2FD6,326D,317A,2998,317E,30A6,2940,2923,2C90,288A,43BF,2DDE,0000,0000,0000,0000,0000,0000,0000,0000
00800000,D3BB,316E,2D42,304C,2778,2BE9,3329,2B2D,33A9,314C,2A84,2FC2,3402,2EFD,3132,321E,2984,304A,2F93,2967,2915,2CA0,2856,45E5,2F2D,0000,0000,0000,0000,0000,0000,0000,0000
00800000,DE6B,30D1,2CA1,2F22,27C0,2B79,32AD,2AF4,33D2,314D,2922,2F09,346A,2ECB,31DE,3199,2932,30B9,30BC,2AE1,2956,2D5E,2901,3EE6,3020,0000,0000,0000,0000,0000,0000,0000,0000
00800000,FBFD,2FC9,2C09,2F7A,2760,2B0B,328A,2A83,31FE,30CA,29C2,2FC0,341B,2EE8,3162,3199,28D1,2FE6,2F44,28F2,28E0,2B83,28B2,55B5,2FF3,0000,0000,0000,0000,0000,0000,0000,0000
00800000,4EBC,30C3,2BE5,2E19,268E,2BAC,3196,2AD7,31D0,2FB5,2920,2DB9,33BE,2CF9,2FA0,3079,28C1,31F6,30B2,29AC,2A7A,2D63,2858,6AE6,307C,0000,0000,0000,0000,0000,0000,0000,0000
00800000,2D17,3125,2C58,2E7A,27F4,2D5A,3225,2AB9,332F,3010,28E4,2E5F,3550,2F24,3290,3160,2895,31B1,3181,2AE6,2A5C,2DE4,282A,5064,2F82,0000,0000,0000,0000,0000,0000,0000,0000
00800000,FBAB,314C,2D61,2ED5,2753,2CD4,321A,299A,3244,303F,29EE,2F40,3442,2E19,3240,3115,29CB,3201,31DF,28F2,2A4F,2C71,2804,517B,2EBB,0000,0000,0000,0000,0000,0000,0000,0000
00800000,7498,3028,2C67,2DB9,25E0,2B0E,314C,29C0,3176,3064,27EB,2DEA,3418,2D33,30AA,30EB,27A1,308A,3058,29B3,29CD,2C1D,27DA,76C7,3039,0000,0000,0000,0000,0000,0000,0000,0000
00800000,76A6,2FF5,2D61,2E1F,27F4,2C0B,328A,2A00,3260,30C9,29F0,2FD3,3327,2E04,3089,32AA,28D2,321F,312A,29A0,29C6,2CB2,28DF,9180,2F78,0000,0000,0000,0000,0000,0000,0000,0000
00800000,A997,311D,2C01,2F2E,2739,2C36,3295,2AEA,3219,304F,28B1,2D9D,335B,2E82,3001,3132,28DB,303E,3110,2970,2B38,2C94,2862,4358,2F86,0000,0000,0000,0000,0000,0000,0000,0000
00800000,0373,2FF6,2C87,2D58,276E,2B4A,3078,2A25,30D1,3188,2978,2E73,3450,2D0F,320A,3016,28C7,3106,32D9,2B02,2A33,2D9F,2802,48A4,30C5,0000,0000,0000,0000,0000,0000,0000,0000
00800000,E768,2F35,2C80,2E4E,267C,2C09,30FE,28F7,30C3,2F82,2870,2DF9,33B3,2DAB,3090,2FC9,26F0,3071,30D6,291B,294A,2C6C,27DD,45D3,2E4E,0000,0000,0000,0000,0000,0000,0000,0000
00800000,D064,313C,2D74,2F78,27E9,2BCC,316A,2AAD,31D7,2FC8,2B03,2F55,34EF,2ECB,31C1,32B2,288D,31A4,3101,2884,2A04,2C67,2754,49C0,2D9C,0000,0000,0000,0000,0000,0000,0000,0000
00800000,2BA5,308A,2BE6,2D19,2691,2B53,30BA,2A15,32E2,30A8,2912,2E01,34BE,2E62,2ED8,30FB,298A,3174,3317,2A21,2A90,2DCF,2933,423C,63B9,0000,0000,0000,0000,0000,0000,0000,0000
00800000,B9B1,30B8,2BD6,2E01,2764,2C54,31F1,2A85,30C2,3051,2982,2E87,3421,2F03,3037,31CD,299D,3083,3113,2967,2A70,2CC2,28E7,7E01,2FDF,0000,0000,0000,0000,0000,0000,0000,0000
00800000,6424,30DB,2C0D,2E01,2704,2B98,31DD,2964,3207,2FC8,2910,2F53,33A6,2DB7,2FBA,30D5,281E,317C,30F8,2B25,2A4C,2D6B,29AC,50EB,30D2,0000,0000,0000,0000,0000,0000,0000,0000
00800000,3003,312F,2DE8,2E8E,26E0,2B3B,31C1,29EF,322B,2FA5,2AD7,2F4F,33BA,2E68,3256,310D,297F,301B,32CE,28BD,28F1,2C1F,2778,411E,2F16,0000,0000,0000,0000,0000,0000,0000,0000
00800000,AA98,3133,2B4B,2E5B,258F,2AD5,30E7,29FE,3070,2F52,292B,2DBF,335C,2C4D,3000,30CE,27E5,30ED,3123,2952,28C7,2C2A,279D,7C9A,2F94,0000,0000,0000,0000,0000,0000,0000,0000
00800000,6B6C,31E5,2CFA,2F26,27C6,2B32,321B,2A0F,3195,2FD0,2A0A,2EE4,3431,2F28,31A0,318A,2A14,3062,30E9,2903,2948,2CC4,26DF,3F29,2F0A,0000,0000,0000,0000,0000,0000,0000,0000
